ProductID,BranchID,City,Year,Month,ProductSalesAmount,TotalTransactions,UnitsSold,RankedProduct
1551,1,Skokie,2019,April,"$ 2,759.40",7,12,3
1572,1,Skokie,2019,April,"$ 2,685.00",10,15,4
173,1,Skokie,2019,April,"$ 2,551.78",14,22,5
2010,1,Skokie,2019,April,"$ 2,299.77",13,23,6
149,1,Skokie,2019,April,"$ 2,249.82",10,18,7
1552,1,Skokie,2019,April,"$ 2,249.55",5,9,8
156,1,Skokie,2019,April,"$ 2,099.79",14,21,9
1600,1,Skokie,2019,April,"$ 2,086.00",9,14,10
1594,1,Skokie,2019,May,"$ 4,667.00",8,13,1
2010,1,Skokie,2019,May,"$ 2,399.76",14,24,2
242,1,Skokie,2019,May,"$ 2,199.80",13,20,3
149,1,Skokie,2019,May,"$ 2,124.83",10,17,4
2013,1,Skokie,2019,May,"$ 2,039.76",14,24,5
175,1,Skokie,2019,May,"$ 2,039.76",16,24,6
16,1,Skokie,2019,May,"$ 2,039.52",16,24,7
254,1,Skokie,2019,May,"$ 1,952.79",13,21,8
1571,1,Skokie,2019,May,"$ 1,908.00",7,12,9
2012,1,Skokie,2019,May,"$ 1,889.79",15,21,10
115,1,Skokie,2019,June,"$ 2,403.24",15,21,1
201,1,Skokie,2019,June,"$ 2,339.82",13,18,2
177,1,Skokie,2019,June,"$ 2,309.78",13,22,3
2008,1,Skokie,2019,June,"$ 2,203.81",12,19,4
1551,1,Skokie,2019,June,"$ 2,069.55",5,9,5
183,1,Skokie,2019,June,"$ 1,999.80",12,20,6
119,1,Skokie,2019,June,"$ 1,984.29",13,21,7
1988,1,Skokie,2019,June,"$ 1,967.76",16,24,8
206,1,Skokie,2019,June,"$ 1,859.88",8,12,9
172,1,Skokie,2019,June,"$ 1,804.81",14,19,10
206,1,Skokie,2019,July,"$ 2,634.83",11,17,1
117,1,Skokie,2019,July,"$ 2,489.70",19,30,2
112,1,Skokie,2019,July,"$ 2,425.28",13,22,3
146,1,Skokie,2019,July,"$ 2,332.44",20,33,4
1592,1,Skokie,2019,July,"$ 2,268.00",8,12,5
149,1,Skokie,2019,July,"$ 1,999.84",10,16,6
1552,1,Skokie,2019,July,"$ 1,999.60",4,8,7
2007,1,Skokie,2019,July,"$ 1,988.83",10,17,8
50,1,Skokie,2019,July,"$ 1,819.74",16,26,9
1594,1,Skokie,2019,July,"$ 1,795.00",4,5,10
1594,1,Skokie,2019,August,"$ 3,949.00",6,11,1
206,1,Skokie,2019,August,"$ 3,719.76",14,24,2
112,1,Skokie,2019,August,"$ 2,425.28",13,22,3
170,1,Skokie,2019,August,"$ 2,339.74",17,26,4
1572,1,Skokie,2019,August,"$ 2,148.00",9,12,5
2006,1,Skokie,2019,August,"$ 2,136.93",12,19,6
181,1,Skokie,2019,August,"$ 2,111.78",13,22,7
173,1,Skokie,2019,August,"$ 2,087.82",11,18,8
175,1,Skokie,2019,August,"$ 2,039.76",17,24,9
3,1,Skokie,2019,August,"$ 2,039.52",14,24,10
201,1,Skokie,2019,September,"$ 4,159.68",22,32,1
198,1,Skokie,2019,September,"$ 3,058.77",15,23,2
1572,1,Skokie,2019,September,"$ 2,327.00",10,13,3
177,1,Skokie,2019,September,"$ 2,309.78",12,22,4
2010,1,Skokie,2019,September,"$ 2,199.78",12,22,5
1594,1,Skokie,2019,September,"$ 2,154.00",4,6,6
156,1,Skokie,2019,September,"$ 2,099.79",14,21,7
206,1,Skokie,2019,September,"$ 2,014.87",8,13,8
265,1,Skokie,2019,September,"$ 1,999.80",12,20,9
2009,1,Skokie,2019,September,"$ 1,899.81",13,19,10
206,1,Skokie,2019,October,"$ 2,634.83",10,17,1
201,1,Skokie,2019,October,"$ 2,599.80",14,20,2
7,1,Skokie,2019,October,"$ 2,379.44",17,28,3
181,1,Skokie,2019,October,"$ 2,303.76",13,24,4
156,1,Skokie,2019,October,"$ 2,299.77",16,23,5
115,1,Skokie,2019,October,"$ 2,288.80",12,20,6
204,1,Skokie,2019,October,"$ 2,267.82",11,18,7
1626,1,Skokie,2019,October,"$ 2,191.20",11,16,8
149,1,Skokie,2019,October,"$ 2,124.83",11,17,9
2009,1,Skokie,2019,October,"$ 2,099.79",13,21,10
206,1,Skokie,2019,November,"$ 3,254.79",13,21,1
1594,1,Skokie,2019,November,"$ 3,231.00",5,9,2
204,1,Skokie,2019,November,"$ 2,771.78",14,22,3
212,1,Skokie,2019,November,"$ 2,219.80",14,20,4
1572,1,Skokie,2019,November,"$ 2,148.00",7,12,5
2011,1,Skokie,2019,November,"$ 2,039.80",14,20,6
152,1,Skokie,2019,November,"$ 1,899.81",12,19,7
219,1,Skokie,2019,November,"$ 1,871.82",11,18,8
121,1,Skokie,2019,November,"$ 1,804.81",15,19,9
211,1,Skokie,2019,November,"$ 1,801.83",12,17,10
206,1,Skokie,2019,December,"$ 3,874.75",18,25,1
115,1,Skokie,2019,December,"$ 3,089.88",18,27,2
1645,1,Skokie,2019,December,"$ 3,043.00",13,17,3
271,1,Skokie,2019,December,"$ 2,789.69",19,31,4
173,1,Skokie,2019,December,"$ 2,783.76",13,24,5
201,1,Skokie,2019,December,"$ 2,729.79",13,21,6
212,1,Skokie,2019,December,"$ 2,663.76",17,24,7
129,1,Skokie,2019,December,"$ 2,639.67",19,33,8
106,1,Skokie,2019,December,"$ 2,632.12",17,23,9
170,1,Skokie,2019,December,"$ 2,609.71",17,29,10
1593,1,Skokie,2020,January,"$ 2,926.00",8,14,1
250,1,Skokie,2020,January,"$ 2,603.72",16,28,2
172,1,Skokie,2020,January,"$ 2,564.73",18,27,3
1595,1,Skokie,2020,January,"$ 2,549.83",12,17,4
265,1,Skokie,2020,January,"$ 2,499.75",15,25,5
181,1,Skokie,2020,January,"$ 2,495.74",15,26,6
149,1,Skokie,2020,January,"$ 2,374.81",12,19,7
1551,1,Skokie,2020,January,"$ 2,299.50",7,10,8
15,1,Skokie,2020,January,"$ 2,294.46",16,27,9
109,1,Skokie,2020,January,"$ 2,288.80",13,20,10
106,1,Skokie,2020,Febuary,"$ 3,318.76",16,29,1
1594,1,Skokie,2020,Febuary,"$ 3,231.00",6,9,2
168,1,Skokie,2020,Febuary,"$ 2,899.71",18,29,3
149,1,Skokie,2020,Febuary,"$ 2,874.77",16,23,4
109,1,Skokie,2020,Febuary,"$ 2,746.56",15,24,5
1645,1,Skokie,2020,Febuary,"$ 2,685.00",9,15,6
201,1,Skokie,2020,Febuary,"$ 2,599.80",13,20,7
121,1,Skokie,2020,Febuary,"$ 2,374.75",15,25,8
2006,1,Skokie,2020,Febuary,"$ 2,361.87",13,21,9
185,1,Skokie,2020,Febuary,"$ 2,309.79",11,21,10
1594,1,Skokie,2020,March,"$ 3,949.00",7,11,1
177,1,Skokie,2020,March,"$ 3,569.66",22,34,2
1552,1,Skokie,2020,March,"$ 3,249.35",9,13,3
179,1,Skokie,2020,March,"$ 3,167.67",23,33,4
2007,1,Skokie,2020,March,"$ 2,924.75",18,25,5
1635,1,Skokie,2020,March,"$ 2,699.85",9,15,6
1644,1,Skokie,2020,March,"$ 2,682.00",11,18,7
1601,1,Skokie,2020,March,"$ 2,506.00",8,14,8
2,1,Skokie,2020,March,"$ 2,463.68",21,32,9
211,1,Skokie,2020,March,"$ 2,437.77",15,23,10
1594,1,Skokie,2020,April,"$ 4,667.00",8,13,1
1635,1,Skokie,2020,April,"$ 2,519.86",8,14,2
1591,1,Skokie,2020,April,"$ 2,366.00",8,14,3
2007,1,Skokie,2020,April,"$ 2,339.80",14,20,4
2010,1,Skokie,2020,April,"$ 2,299.77",17,23,5
200,1,Skokie,2020,April,"$ 2,213.73",18,27,6
152,1,Skokie,2020,April,"$ 2,099.79",15,21,7
1986,1,Skokie,2020,April,"$ 2,091.96",18,27,8
1997,1,Skokie,2020,April,"$ 2,051.73",15,27,9
164,1,Skokie,2020,April,"$ 1,999.75",15,25,10
2007,1,Skokie,2020,May,"$ 2,807.76",15,24,1
1596,1,Skokie,2020,May,"$ 2,699.85",9,15,2
206,1,Skokie,2020,May,"$ 2,634.83",12,17,3
160,1,Skokie,2020,May,"$ 2,609.71",18,29,4
1552,1,Skokie,2020,May,"$ 2,499.50",6,10,5
7,1,Skokie,2020,May,"$ 2,379.44",19,28,6
2008,1,Skokie,2020,May,"$ 2,319.80",14,20,7
198,1,Skokie,2020,May,"$ 2,260.83",9,17,8
177,1,Skokie,2020,May,"$ 2,204.79",13,21,9
1541,1,Skokie,2020,May,"$ 2,199.80",13,20,10
1594,1,Skokie,2020,June,"$ 3,949.00",7,11,1
206,1,Skokie,2020,June,"$ 3,099.80",13,20,2
2007,1,Skokie,2020,June,"$ 2,690.77",14,23,3
211,1,Skokie,2020,June,"$ 2,543.76",14,24,4
112,1,Skokie,2020,June,"$ 2,425.28",14,22,5
177,1,Skokie,2020,June,"$ 2,309.78",14,22,6
131,1,Skokie,2020,June,"$ 2,239.72",19,28,7
2008,1,Skokie,2020,June,"$ 2,203.81",13,19,8
1988,1,Skokie,2020,June,"$ 2,131.74",16,26,9
198,1,Skokie,2020,June,"$ 2,127.84",10,16,10
1594,1,Skokie,2020,July,"$ 3,590.00",7,10,1
149,1,Skokie,2020,July,"$ 3,249.74",16,26,2
212,1,Skokie,2020,July,"$ 3,218.71",19,29,3
204,1,Skokie,2020,July,"$ 3,023.76",17,24,4
2006,1,Skokie,2020,July,"$ 2,811.75",16,25,5
1645,1,Skokie,2020,July,"$ 2,685.00",10,15,6
1601,1,Skokie,2020,July,"$ 2,685.00",8,15,7
211,1,Skokie,2020,July,"$ 2,649.75",15,25,8
173,1,Skokie,2020,July,"$ 2,551.78",13,22,9
112,1,Skokie,2020,July,"$ 2,535.52",13,23,10
1552,1,Skokie,2020,August,"$ 2,749.45",7,11,1
1644,1,Skokie,2020,August,"$ 2,682.00",10,18,2
173,1,Skokie,2020,August,"$ 2,667.77",13,23,3
18,1,Skokie,2020,August,"$ 2,379.44",19,28,4
119,1,Skokie,2020,August,"$ 2,362.25",17,25,5
112,1,Skokie,2020,August,"$ 2,315.04",13,21,6
177,1,Skokie,2020,August,"$ 2,204.79",15,21,7
219,1,Skokie,2020,August,"$ 2,183.79",12,21,8
2000,1,Skokie,2020,August,"$ 2,159.73",17,27,9
168,1,Skokie,2020,August,"$ 2,099.79",15,21,10
1594,1,Skokie,2020,September,"$ 3,949.00",6,11,1
1551,1,Skokie,2020,September,"$ 3,449.25",9,15,2
1552,1,Skokie,2020,September,"$ 3,249.35",8,13,3
2008,1,Skokie,2020,September,"$ 3,015.74",16,26,4
198,1,Skokie,2020,September,"$ 2,659.80",11,20,5
225,1,Skokie,2020,September,"$ 2,627.64",23,36,6
106,1,Skokie,2020,September,"$ 2,517.68",14,22,7
1572,1,Skokie,2020,September,"$ 2,506.00",9,14,8
206,1,Skokie,2020,September,"$ 2,479.84",8,16,9
262,1,Skokie,2020,September,"$ 2,379.72",17,28,10
206,1,Skokie,2020,October,"$ 3,719.76",16,24,1
2007,1,Skokie,2020,October,"$ 3,275.72",16,28,2
106,1,Skokie,2020,October,"$ 3,089.88",17,27,3
1572,1,Skokie,2020,October,"$ 2,685.00",9,15,4
246,1,Skokie,2020,October,"$ 2,609.71",15,29,5
1594,1,Skokie,2020,October,"$ 2,513.00",5,7,6
1552,1,Skokie,2020,October,"$ 2,499.50",6,10,7
185,1,Skokie,2020,October,"$ 2,419.78",13,22,8
1645,1,Skokie,2020,October,"$ 2,327.00",7,13,9
265,1,Skokie,2020,October,"$ 2,299.77",15,23,10
1551,1,Skokie,2020,November,"$ 4,139.10",13,18,1
1594,1,Skokie,2020,November,"$ 3,231.00",6,9,2
219,1,Skokie,2020,November,"$ 3,119.70",18,30,3
206,1,Skokie,2020,November,"$ 2,789.82",11,18,4
115,1,Skokie,2020,November,"$ 2,632.12",15,23,5
149,1,Skokie,2020,November,"$ 2,374.81",13,19,6
1596,1,Skokie,2020,November,"$ 2,339.87",8,13,7
265,1,Skokie,2020,November,"$ 2,299.77",14,23,8
1572,1,Skokie,2020,November,"$ 2,148.00",8,12,9
262,1,Skokie,2020,November,"$ 2,124.75",16,25,10
1551,1,Skokie,2020,December,"$ 5,518.80",16,24,1
204,1,Skokie,2020,December,"$ 3,905.69",21,31,2
173,1,Skokie,2020,December,"$ 3,247.72",18,28,3
109,1,Skokie,2020,December,"$ 3,089.88",16,27,4
1591,1,Skokie,2020,December,"$ 3,042.00",13,18,5
219,1,Skokie,2020,December,"$ 2,911.72",17,28,6
211,1,Skokie,2020,December,"$ 2,861.73",19,27,7
242,1,Skokie,2020,December,"$ 2,859.74",16,26,8
106,1,Skokie,2020,December,"$ 2,746.56",15,24,9
201,1,Skokie,2020,December,"$ 2,599.80",13,20,10
1551,1,Skokie,2021,January,"$ 2,989.35",7,13,1
156,1,Skokie,2021,January,"$ 2,899.71",19,29,2
2008,1,Skokie,2021,January,"$ 2,551.78",15,22,3
212,1,Skokie,2021,January,"$ 2,441.78",13,22,4
247,1,Skokie,2021,January,"$ 2,249.75",16,25,5
206,1,Skokie,2021,January,"$ 2,169.86",10,14,6
1635,1,Skokie,2021,January,"$ 2,159.88",8,12,7
1594,1,Skokie,2021,January,"$ 2,154.00",5,6,8
158,1,Skokie,2021,January,"$ 2,069.77",15,23,9
3,1,Skokie,2021,January,"$ 2,039.52",16,24,10
176,1,Skokie,2021,Febuary,"$ 1,899.81",12,19,1
1593,1,Skokie,2021,Febuary,"$ 1,881.00",5,9,2
2010,1,Skokie,2021,Febuary,"$ 1,799.82",10,18,3
212,1,Skokie,2021,Febuary,"$ 1,775.84",10,16,4
185,1,Skokie,2021,Febuary,"$ 1,759.84",10,16,5
52,1,Skokie,2021,Febuary,"$ 1,749.75",15,25,6
227,1,Skokie,2021,Febuary,"$ 1,721.79",17,21,7
15,1,Skokie,2021,Febuary,"$ 1,699.60",11,20,8
149,1,Skokie,2021,Febuary,"$ 1,624.87",8,13,9
2008,1,Skokie,2021,Febuary,"$ 1,623.86",8,14,10
1594,1,Skokie,2021,March,"$ 3,949.00",7,11,1
1593,1,Skokie,2021,March,"$ 2,926.00",10,14,2
117,1,Skokie,2021,March,"$ 2,655.68",18,32,3
201,1,Skokie,2021,March,"$ 2,599.80",11,20,4
1572,1,Skokie,2021,March,"$ 2,327.00",9,13,5
206,1,Skokie,2021,March,"$ 2,169.86",9,14,6
1,1,Skokie,2021,March,"$ 2,155.72",18,28,7
246,1,Skokie,2021,March,"$ 2,069.77",13,23,8
2006,1,Skokie,2021,March,"$ 2,024.46",11,18,9
1645,1,Skokie,2021,March,"$ 1,969.00",6,11,10
1551,1,Skokie,2021,April,"$ 2,529.45",7,11,1
1596,1,Skokie,2021,April,"$ 2,339.87",9,13,2
204,1,Skokie,2021,April,"$ 2,267.82",12,18,3
2006,1,Skokie,2021,April,"$ 2,249.40",12,20,4
2000,1,Skokie,2021,April,"$ 2,159.73",18,27,5
1594,1,Skokie,2021,April,"$ 2,154.00",4,6,6
198,1,Skokie,2021,April,"$ 2,127.84",10,16,7
112,1,Skokie,2021,April,"$ 2,094.56",12,19,8
206,1,Skokie,2021,April,"$ 2,014.87",8,13,9
156,1,Skokie,2021,April,"$ 1,999.80",12,20,10
265,1,Skokie,2021,May,"$ 3,099.69",18,31,1
212,1,Skokie,2021,May,"$ 2,663.76",15,24,2
198,1,Skokie,2021,May,"$ 2,526.81",11,19,3
156,1,Skokie,2021,May,"$ 2,499.75",14,25,4
1592,1,Skokie,2021,May,"$ 2,457.00",8,13,5
152,1,Skokie,2021,May,"$ 2,299.77",13,23,6
242,1,Skokie,2021,May,"$ 2,199.80",15,20,7
149,1,Skokie,2021,May,"$ 2,124.83",11,17,8
1591,1,Skokie,2021,May,"$ 2,028.00",8,12,9
112,1,Skokie,2021,May,"$ 1,984.32",11,18,10
115,1,Skokie,2021,June,"$ 3,089.88",15,27,1
198,1,Skokie,2021,June,"$ 2,792.79",12,21,2
149,1,Skokie,2021,June,"$ 2,624.79",12,21,3
201,1,Skokie,2021,June,"$ 2,209.83",11,17,4
206,1,Skokie,2021,June,"$ 2,169.86",9,14,5
1551,1,Skokie,2021,June,"$ 2,069.55",6,9,6
172,1,Skokie,2021,June,"$ 1,994.79",13,21,7
1628,1,Skokie,2021,June,"$ 1,819.30",8,14,8
246,1,Skokie,2021,June,"$ 1,799.80",14,20,9
162,1,Skokie,2021,June,"$ 1,799.80",13,20,10
1551,1,Skokie,2021,July,"$ 3,219.30",9,14,1
1594,1,Skokie,2021,July,"$ 2,513.00",5,7,2
211,1,Skokie,2021,July,"$ 2,225.79",14,21,3
123,1,Skokie,2021,July,"$ 2,184.77",15,23,4
184,1,Skokie,2021,July,"$ 2,099.70",17,30,5
242,1,Skokie,2021,July,"$ 2,089.81",13,19,6
2014,1,Skokie,2021,July,"$ 2,039.76",16,24,7
206,1,Skokie,2021,July,"$ 2,014.87",9,13,8
197,1,Skokie,2021,July,"$ 1,801.83",10,17,9
2006,1,Skokie,2021,July,"$ 1,799.52",12,16,10
198,1,Skokie,2021,August,"$ 2,659.80",11,20,1
206,1,Skokie,2021,August,"$ 2,634.83",10,17,2
1551,1,Skokie,2021,August,"$ 2,299.50",6,10,3
115,1,Skokie,2021,August,"$ 2,174.36",12,19,4
106,1,Skokie,2021,August,"$ 2,174.36",12,19,5
201,1,Skokie,2021,August,"$ 1,949.85",11,15,6
2008,1,Skokie,2021,August,"$ 1,855.84",10,16,7
11,1,Skokie,2021,August,"$ 1,823.52",15,24,8
119,1,Skokie,2021,August,"$ 1,795.31",13,19,9
1594,1,Skokie,2021,August,"$ 1,795.00",4,5,10
1594,1,Skokie,2021,September,"$ 2,154.00",5,6,1
227,1,Skokie,2021,September,"$ 2,131.74",17,26,2
177,1,Skokie,2021,September,"$ 2,099.80",11,20,3
211,1,Skokie,2021,September,"$ 2,013.81",13,19,4
9,1,Skokie,2021,September,"$ 2,001.48",18,26,5
106,1,Skokie,2021,September,"$ 1,945.48",11,17,6
123,1,Skokie,2021,September,"$ 1,899.80",13,20,7
204,1,Skokie,2021,September,"$ 1,889.85",10,15,8
2012,1,Skokie,2021,September,"$ 1,889.79",12,21,9
2008,1,Skokie,2021,September,"$ 1,855.84",9,16,10
173,1,Skokie,2021,October,"$ 3,015.74",15,26,1
1594,1,Skokie,2021,October,"$ 2,872.00",5,8,2
265,1,Skokie,2021,October,"$ 2,799.72",16,28,3
204,1,Skokie,2021,October,"$ 2,393.81",10,19,4
1552,1,Skokie,2021,October,"$ 2,249.55",6,9,5
206,1,Skokie,2021,October,"$ 2,169.86",9,14,6
1635,1,Skokie,2021,October,"$ 2,159.88",7,12,7
227,1,Skokie,2021,October,"$ 2,049.75",15,25,8
152,1,Skokie,2021,October,"$ 1,999.80",15,20,9
106,1,Skokie,2021,October,"$ 1,945.48",10,17,10
1594,1,Skokie,2021,November,"$ 3,590.00",6,10,1
206,1,Skokie,2021,November,"$ 2,634.83",11,17,2
67,1,Skokie,2021,November,"$ 2,335.68",19,32,3
112,1,Skokie,2021,November,"$ 2,204.80",12,20,4
217,1,Skokie,2021,November,"$ 2,159.73",16,27,5
1551,1,Skokie,2021,November,"$ 2,069.55",6,9,6
1635,1,Skokie,2021,November,"$ 1,979.89",7,11,7
247,1,Skokie,2021,November,"$ 1,979.78",14,22,8
2013,1,Skokie,2021,November,"$ 1,954.77",16,23,9
2011,1,Skokie,2021,November,"$ 1,937.81",12,19,10
152,1,Skokie,2021,December,"$ 2,999.70",18,30,1
204,1,Skokie,2021,December,"$ 2,897.77",15,23,2
183,1,Skokie,2021,December,"$ 2,699.73",18,27,3
198,1,Skokie,2021,December,"$ 2,659.80",12,20,4
206,1,Skokie,2021,December,"$ 2,479.84",12,16,5
158,1,Skokie,2021,December,"$ 2,429.73",18,27,6
112,1,Skokie,2021,December,"$ 2,425.28",13,22,7
16,1,Skokie,2021,December,"$ 2,379.44",16,28,8
1645,1,Skokie,2021,December,"$ 2,327.00",8,13,9
181,1,Skokie,2021,December,"$ 2,303.76",16,24,10
1593,1,Skokie,2022,January,"$ 2,717.00",9,13,1
1594,1,Skokie,2022,January,"$ 2,513.00",5,7,2
1601,1,Skokie,2022,January,"$ 2,506.00",7,14,3
1606,1,Skokie,2022,January,"$ 2,209.83",11,17,4
212,1,Skokie,2022,January,"$ 2,108.81",13,19,5
168,1,Skokie,2022,January,"$ 2,099.79",11,21,6
1634,1,Skokie,2022,January,"$ 1,949.87",9,13,7
1584,1,Skokie,2022,January,"$ 1,946.00",8,14,8
2002,1,Skokie,2022,January,"$ 1,908.77",14,23,9
2003,1,Skokie,2022,January,"$ 1,825.78",15,22,10
1552,1,Skokie,2022,Febuary,"$ 3,249.35",7,13,1
112,1,Skokie,2022,Febuary,"$ 2,315.04",13,21,2
1592,1,Skokie,2022,Febuary,"$ 2,268.00",7,12,3
204,1,Skokie,2022,Febuary,"$ 2,267.82",12,18,4
2008,1,Skokie,2022,Febuary,"$ 2,087.82",11,18,5
17,1,Skokie,2022,Febuary,"$ 2,039.52",16,24,6
185,1,Skokie,2022,Febuary,"$ 1,979.82",11,18,7
1601,1,Skokie,2022,Febuary,"$ 1,969.00",8,11,8
1634,1,Skokie,2022,Febuary,"$ 1,949.87",8,13,9
106,1,Skokie,2022,Febuary,"$ 1,945.48",11,17,10
1594,1,Skokie,2022,March,"$ 6,103.00",13,17,1
212,1,Skokie,2022,March,"$ 3,218.71",17,29,2
1552,1,Skokie,2022,March,"$ 2,999.40",6,12,3
201,1,Skokie,2022,March,"$ 2,989.77",16,23,4
16,1,Skokie,2022,March,"$ 2,549.40",20,30,5
1596,1,Skokie,2022,March,"$ 2,519.86",10,14,6
149,1,Skokie,2022,March,"$ 2,499.80",14,20,7
121,1,Skokie,2022,March,"$ 2,469.74",15,26,8
2011,1,Skokie,2022,March,"$ 2,345.77",15,23,9
106,1,Skokie,2022,March,"$ 2,174.36",14,19,10
201,1,Skokie,2022,April,"$ 2,599.80",13,20,1
109,1,Skokie,2022,April,"$ 2,288.80",13,20,2
204,1,Skokie,2022,April,"$ 2,267.82",12,18,3
2009,1,Skokie,2022,April,"$ 2,199.78",13,22,4
121,1,Skokie,2022,April,"$ 2,184.77",15,23,5
1,1,Skokie,2022,April,"$ 2,155.72",18,28,6
185,1,Skokie,2022,April,"$ 2,089.81",12,19,7
197,1,Skokie,2022,April,"$ 2,013.81",11,19,8
265,1,Skokie,2022,April,"$ 1,899.81",12,19,9
156,1,Skokie,2022,April,"$ 1,899.81",14,19,10
1552,1,Skokie,2022,May,"$ 5,748.85",14,23,1
1571,1,Skokie,2022,May,"$ 3,498.00",14,22,2
206,1,Skokie,2022,May,"$ 2,944.81",11,19,3
1593,1,Skokie,2022,May,"$ 2,926.00",10,14,4
125,1,Skokie,2022,May,"$ 2,469.74",18,26,5
183,1,Skokie,2022,May,"$ 2,299.77",15,23,6
204,1,Skokie,2022,May,"$ 2,267.82",12,18,7
121,1,Skokie,2022,May,"$ 2,184.77",14,23,8
172,1,Skokie,2022,May,"$ 2,184.77",14,23,9
123,1,Skokie,2022,May,"$ 2,184.77",13,23,10
206,1,Skokie,2022,June,"$ 2,944.81",13,19,1
271,1,Skokie,2022,June,"$ 2,609.71",18,29,2
250,1,Skokie,2022,June,"$ 2,510.73",17,27,3
1552,1,Skokie,2022,June,"$ 2,499.50",6,10,4
198,1,Skokie,2022,June,"$ 2,393.82",12,18,5
2007,1,Skokie,2022,June,"$ 2,339.80",13,20,6
109,1,Skokie,2022,June,"$ 2,174.36",14,19,7
149,1,Skokie,2022,June,"$ 2,124.83",11,17,8
112,1,Skokie,2022,June,"$ 2,094.56",13,19,9
219,1,Skokie,2022,June,"$ 2,079.80",13,20,10
206,1,Skokie,2022,July,"$ 4,029.74",15,26,1
1594,1,Skokie,2022,July,"$ 3,231.00",6,9,2
2011,1,Skokie,2022,July,"$ 2,243.78",14,22,3
185,1,Skokie,2022,July,"$ 2,199.80",14,20,4
170,1,Skokie,2022,July,"$ 2,159.76",17,24,5
262,1,Skokie,2022,July,"$ 2,124.75",15,25,6
1593,1,Skokie,2022,July,"$ 2,090.00",7,10,7
203,1,Skokie,2022,July,"$ 2,024.73",16,27,8
1572,1,Skokie,2022,July,"$ 1,969.00",7,11,9
1543,1,Skokie,2022,July,"$ 1,920.00",12,16,10
2006,1,Skokie,2022,August,"$ 2,474.34",14,22,1
250,1,Skokie,2022,August,"$ 2,324.75",14,25,2
173,1,Skokie,2022,August,"$ 2,319.80",12,20,3
176,1,Skokie,2022,August,"$ 2,199.78",13,22,4
1986,1,Skokie,2022,August,"$ 2,169.44",18,28,5
2007,1,Skokie,2022,August,"$ 2,105.82",11,18,6
1593,1,Skokie,2022,August,"$ 2,090.00",7,10,7
109,1,Skokie,2022,August,"$ 2,059.92",12,18,8
206,1,Skokie,2022,August,"$ 2,014.87",8,13,9
168,1,Skokie,2022,August,"$ 1,999.80",13,20,10
1594,1,Skokie,2022,September,"$ 4,308.00",9,12,1
1591,1,Skokie,2022,September,"$ 3,211.00",11,19,2
1592,1,Skokie,2022,September,"$ 2,835.00",9,15,3
1645,1,Skokie,2022,September,"$ 2,685.00",11,15,4
181,1,Skokie,2022,September,"$ 2,303.76",14,24,5
1551,1,Skokie,2022,September,"$ 2,299.50",6,10,6
206,1,Skokie,2022,September,"$ 2,169.86",8,14,7
1601,1,Skokie,2022,September,"$ 2,148.00",7,12,8
179,1,Skokie,2022,September,"$ 2,111.78",14,22,9
160,1,Skokie,2022,September,"$ 1,979.78",14,22,10
198,1,Skokie,2022,October,"$ 2,260.83",12,17,1
254,1,Skokie,2022,October,"$ 2,231.76",16,24,2
206,1,Skokie,2022,October,"$ 2,169.86",9,14,3
