SalesAmount,Sales_Year,Month,PreviousSalesAmount,MoM_Perc,MoM_Diff
"$ 473,348.53",2019,December,"$ 324,467.27",45.88%,"$ 148,881.26"
"$ 397,370.35",2020,January,"$ 473,348.53",-16.05%,"$ -75,978.18"
"$ 404,401.71",2020,Febuary,"$ 397,370.35",1.77%,"$ 7,031.36"
"$ 402,996.68",2020,March,"$ 404,401.71",-0.35%,"$ -1,405.03"
"$ 407,345.31",2020,April,"$ 402,996.68",1.08%,"$ 4,348.63"
"$ 425,114.42",2020,May,"$ 407,345.31",4.36%,"$ 17,769.11"
"$ 433,439.63",2020,June,"$ 425,114.42",1.96%,"$ 8,325.21"
"$ 419,316.40",2020,July,"$ 433,439.63",-3.26%,"$ -14,123.23"
"$ 405,320.59",2020,August,"$ 419,316.40",-3.34%,"$ -13,995.81"
"$ 392,441.73",2020,September,"$ 405,320.59",-3.18%,"$ -12,878.86"
"$ 412,116.23",2020,October,"$ 392,441.73",5.01%,"$ 19,674.50"
"$ 369,188.50",2020,November,"$ 412,116.23",-10.42%,"$ -42,927.73"
"$ 473,793.22",2020,December,"$ 369,188.50",28.33%,"$ 104,604.72"
"$ 358,392.89",2021,January,"$ 473,793.22",-24.36%,"$ -115,400.33"
"$ 329,714.94",2021,Febuary,"$ 358,392.89",-8%,"$ -28,677.95"
"$ 342,101.92",2021,March,"$ 329,714.94",3.76%,"$ 12,386.98"
"$ 366,181.07",2021,April,"$ 342,101.92",7.04%,"$ 24,079.15"
"$ 347,180.43",2021,May,"$ 366,181.07",-5.19%,"$ -19,000.64"
"$ 345,826.20",2021,June,"$ 347,180.43",-0.39%,"$ -1,354.23"
"$ 340,968.42",2021,July,"$ 345,826.20",-1.4%,"$ -4,857.78"
"$ 350,319.59",2021,August,"$ 340,968.42",2.74%,"$ 9,351.17"
"$ 331,256.02",2021,September,"$ 350,319.59",-5.44%,"$ -19,063.57"
"$ 352,595.91",2021,October,"$ 331,256.02",6.44%,"$ 21,339.89"
"$ 330,440.79",2021,November,"$ 352,595.91",-6.28%,"$ -22,155.12"
"$ 434,689.02",2021,December,"$ 330,440.79",31.55%,"$ 104,248.23"
"$ 366,511.59",2022,January,"$ 434,689.02",-15.68%,"$ -68,177.43"
"$ 323,955.15",2022,Febuary,"$ 366,511.59",-11.61%,"$ -42,556.44"
"$ 374,681.73",2022,March,"$ 323,955.15",15.66%,"$ 50,726.58"
"$ 339,339.96",2022,April,"$ 374,681.73",-9.43%,"$ -35,341.77"
"$ 370,938.94",2022,May,"$ 339,339.96",9.31%,"$ 31,598.98"
"$ 347,634.01",2022,June,"$ 370,938.94",-6.28%,"$ -23,304.93"
"$ 362,935.40",2022,July,"$ 347,634.01",4.4%,"$ 15,301.39"
"$ 351,494.23",2022,August,"$ 362,935.40",-3.15%,"$ -11,441.17"
"$ 378,563.59",2022,September,"$ 351,494.23",7.7%,"$ 27,069.36"
"$ 356,995.36",2022,October,"$ 378,563.59",-5.7%,"$ -21,568.23"
"$ 342,026.64",2022,November,"$ 356,995.36",-4.19%,"$ -14,968.72"
"$ 404,462.60",2022,December,"$ 342,026.64",18.25%,"$ 62,435.96"
"$ 339,188.56",2023,January,"$ 404,462.60",-16.14%,"$ -65,274.04"
"$ 318,105.95",2023,Febuary,"$ 339,188.56",-6.22%,"$ -21,082.61"
"$ 315,542.93",2023,March,"$ 318,105.95",-0.81%,"$ -2,563.02"
"$ 336,403.18",2023,April,"$ 315,542.93",6.61%,"$ 20,860.25"
"$ 350,051.24",2023,May,"$ 336,403.18",4.06%,"$ 13,648.06"
"$ 341,718.42",2023,June,"$ 350,051.24",-2.38%,"$ -8,332.82"
"$ 328,610.30",2023,July,"$ 341,718.42",-3.84%,"$ -13,108.12"
"$ 321,701.96",2023,August,"$ 328,610.30",-2.1%,"$ -6,908.34"
"$ 331,399.69",2023,September,"$ 321,701.96",3.01%,"$ 9,697.73"
"$ 324,347.07",2023,October,"$ 331,399.69",-2.13%,"$ -7,052.62"
"$ 335,323.61",2023,November,"$ 324,347.07",3.38%,"$ 10,976.54"
"$ 432,052.43",2023,December,"$ 335,323.61",28.85%,"$ 96,728.82"
"$ 345,101.27",2024,January,"$ 432,052.43",-20.13%,"$ -86,951.16"
"$ 315,720.78",2024,Febuary,"$ 345,101.27",-8.51%,"$ -29,380.49"
"$ 349,413.69",2024,March,"$ 315,720.78",10.67%,"$ 33,692.91"
"$ 340,627.79",2024,April,"$ 349,413.69",-2.51%,"$ -8,785.90"
"$ 354,928.88",2024,May,"$ 340,627.79",4.2%,"$ 14,301.09"
"$ 330,809.49",2024,June,"$ 354,928.88",-6.8%,"$ -24,119.39"
"$ 344,223.61",2024,July,"$ 330,809.49",4.05%,"$ 13,414.12"
"$ 334,021.67",2024,August,"$ 344,223.61",-2.96%,"$ -10,201.94"
"$ 316,444.78",2024,September,"$ 334,021.67",-5.26%,"$ -17,576.89"
"$ 370,081.43",2024,October,"$ 316,444.78",16.95%,"$ 53,636.65"
"$ 312,177.74",2024,November,"$ 370,081.43",-15.65%,"$ -57,903.69"
"$ 437,677.59",2024,December,"$ 312,177.74",40.2%,"$ 125,499.85"
"$ 1,299,656.82",2019,January,,,
"$ 1,122,233.09",2019,Febuary,"$ 1,299,656.82",-13.65%,"$ -177,423.73"
"$ 1,247,710.09",2019,March,"$ 1,122,233.09",11.18%,"$ 125,477.00"
"$ 1,277,571.25",2019,April,"$ 1,247,710.09",2.39%,"$ 29,861.16"
"$ 1,264,497.18",2019,May,"$ 1,277,571.25",-1.02%,"$ -13,074.07"
"$ 1,233,144.84",2019,June,"$ 1,264,497.18",-2.48%,"$ -31,352.34"
"$ 1,305,836.22",2019,July,"$ 1,233,144.84",5.89%,"$ 72,691.38"
"$ 1,270,534.83",2019,August,"$ 1,305,836.22",-2.7%,"$ -35,301.39"
"$ 1,318,959.68",2019,September,"$ 1,270,534.83",3.81%,"$ 48,424.85"
"$ 1,315,300.80",2019,October,"$ 1,318,959.68",-0.28%,"$ -3,658.88"
"$ 1,193,103.24",2019,November,"$ 1,315,300.80",-9.29%,"$ -122,197.56"
"$ 1,717,068.07",2019,December,"$ 1,193,103.24",43.92%,"$ 523,964.83"
"$ 1,549,114.60",2020,January,"$ 1,717,068.07",-9.78%,"$ -167,953.47"
"$ 1,406,319.24",2020,Febuary,"$ 1,549,114.60",-9.22%,"$ -142,795.36"
"$ 1,546,664.54",2020,March,"$ 1,406,319.24",9.98%,"$ 140,345.30"
"$ 1,487,252.40",2020,April,"$ 1,546,664.54",-3.84%,"$ -59,412.14"
"$ 1,560,980.84",2020,May,"$ 1,487,252.40",4.96%,"$ 73,728.44"
"$ 1,510,035.47",2020,June,"$ 1,560,980.84",-3.26%,"$ -50,945.37"
"$ 1,573,301.20",2020,July,"$ 1,510,035.47",4.19%,"$ 63,265.73"
"$ 1,548,048.45",2020,August,"$ 1,573,301.20",-1.61%,"$ -25,252.75"
"$ 1,495,994.68",2020,September,"$ 1,548,048.45",-3.36%,"$ -52,053.77"
"$ 1,616,605.21",2020,October,"$ 1,495,994.68",8.06%,"$ 120,610.53"
"$ 1,501,918.51",2020,November,"$ 1,616,605.21",-7.09%,"$ -114,686.70"
"$ 1,775,936.00",2020,December,"$ 1,501,918.51",18.24%,"$ 274,017.49"
"$ 1,288,164.83",2021,January,"$ 1,775,936.00",-27.47%,"$ -487,771.17"
"$ 1,116,931.18",2021,Febuary,"$ 1,288,164.83",-13.29%,"$ -171,233.65"
"$ 1,300,293.70",2021,March,"$ 1,116,931.18",16.42%,"$ 183,362.52"
"$ 1,286,751.64",2021,April,"$ 1,300,293.70",-1.04%,"$ -13,542.06"
"$ 1,293,021.34",2021,May,"$ 1,286,751.64",0.49%,"$ 6,269.70"
"$ 1,211,835.78",2021,June,"$ 1,293,021.34",-6.28%,"$ -81,185.56"
"$ 1,333,326.39",2021,July,"$ 1,211,835.78",10.03%,"$ 121,490.61"
"$ 1,330,196.87",2021,August,"$ 1,333,326.39",-0.23%,"$ -3,129.52"
"$ 1,221,102.08",2021,September,"$ 1,330,196.87",-8.2%,"$ -109,094.79"
"$ 1,290,901.37",2021,October,"$ 1,221,102.08",5.72%,"$ 69,799.29"
"$ 1,227,585.49",2021,November,"$ 1,290,901.37",-4.9%,"$ -63,315.88"
"$ 1,587,312.92",2021,December,"$ 1,227,585.49",29.3%,"$ 359,727.43"
"$ 1,305,046.06",2022,January,"$ 1,587,312.92",-17.78%,"$ -282,266.86"
"$ 1,272,611.01",2022,Febuary,"$ 1,305,046.06",-2.49%,"$ -32,435.05"
"$ 1,373,103.44",2022,March,"$ 1,272,611.01",7.9%,"$ 100,492.43"
"$ 1,296,489.61",2022,April,"$ 1,373,103.44",-5.58%,"$ -76,613.83"
"$ 1,310,756.24",2022,May,"$ 1,296,489.61",1.1%,"$ 14,266.63"
"$ 1,240,558.09",2022,June,"$ 1,310,756.24",-5.36%,"$ -70,198.15"
"$ 1,397,958.29",2022,July,"$ 1,240,558.09",12.69%,"$ 157,400.20"
"$ 1,331,537.98",2022,August,"$ 1,397,958.29",-4.75%,"$ -66,420.31"
"$ 1,351,682.76",2022,September,"$ 1,331,537.98",1.51%,"$ 20,144.78"
"$ 1,315,282.53",2022,October,"$ 1,351,682.76",-2.69%,"$ -36,400.23"
"$ 1,312,479.08",2022,November,"$ 1,315,282.53",-0.21%,"$ -2,803.45"
"$ 1,590,557.53",2022,December,"$ 1,312,479.08",21.19%,"$ 278,078.45"
"$ 1,266,571.53",2023,January,"$ 1,590,557.53",-20.37%,"$ -323,986.00"
"$ 1,185,409.47",2023,Febuary,"$ 1,266,571.53",-6.41%,"$ -81,162.06"
"$ 1,278,210.26",2023,March,"$ 1,185,409.47",7.83%,"$ 92,800.79"
"$ 1,276,240.79",2023,April,"$ 1,278,210.26",-0.15%,"$ -1,969.47"
"$ 1,406,181.08",2023,May,"$ 1,276,240.79",10.18%,"$ 129,940.29"
"$ 1,252,204.33",2023,June,"$ 1,406,181.08",-10.95%,"$ -153,976.75"
"$ 1,338,534.65",2023,July,"$ 1,252,204.33",6.89%,"$ 86,330.32"
"$ 1,266,329.88",2023,August,"$ 1,338,534.65",-5.39%,"$ -72,204.77"
"$ 1,257,153.90",2023,September,"$ 1,266,329.88",-0.72%,"$ -9,175.98"
"$ 1,324,969.58",2023,October,"$ 1,257,153.90",5.39%,"$ 67,815.68"
"$ 1,304,051.15",2023,November,"$ 1,324,969.58",-1.58%,"$ -20,918.43"
"$ 1,615,567.91",2023,December,"$ 1,304,051.15",23.89%,"$ 311,516.76"
"$ 1,263,974.25",2024,January,"$ 1,615,567.91",-21.76%,"$ -351,593.66"
"$ 1,265,209.64",2024,Febuary,"$ 1,263,974.25",0.1%,"$ 1,235.39"
"$ 1,322,359.80",2024,March,"$ 1,265,209.64",4.52%,"$ 57,150.16"
"$ 1,257,296.66",2024,April,"$ 1,322,359.80",-4.92%,"$ -65,063.14"
"$ 1,336,879.03",2024,May,"$ 1,257,296.66",6.33%,"$ 79,582.37"
"$ 1,300,931.37",2024,June,"$ 1,336,879.03",-2.69%,"$ -35,947.66"
"$ 1,301,922.36",2024,July,"$ 1,300,931.37",0.08%,$ 990.99
"$ 1,367,881.11",2024,August,"$ 1,301,922.36",5.07%,"$ 65,958.75"
"$ 1,304,317.90",2024,September,"$ 1,367,881.11",-4.65%,"$ -63,563.21"
"$ 1,233,099.40",2024,October,"$ 1,304,317.90",-5.46%,"$ -71,218.50"
"$ 1,332,157.72",2024,November,"$ 1,233,099.40",8.03%,"$ 99,058.32"
"$ 1,664,752.16",2024,December,"$ 1,332,157.72",24.97%,"$ 332,594.44"
"$ 745,362.65",2019,January,,,
"$ 629,473.79",2019,Febuary,"$ 745,362.65",-15.55%,"$ -115,888.86"
"$ 674,486.46",2019,March,"$ 629,473.79",7.15%,"$ 45,012.67"
"$ 615,135.13",2019,April,"$ 674,486.46",-8.8%,"$ -59,351.33"
"$ 750,559.75",2019,May,"$ 615,135.13",22.02%,"$ 135,424.62"
"$ 635,027.75",2019,June,"$ 750,559.75",-15.39%,"$ -115,532.00"
"$ 723,226.72",2019,July,"$ 635,027.75",13.89%,"$ 88,198.97"
"$ 720,371.52",2019,August,"$ 723,226.72",-0.39%,"$ -2,855.20"
"$ 712,184.46",2019,September,"$ 720,371.52",-1.14%,"$ -8,187.06"
"$ 719,615.03",2019,October,"$ 712,184.46",1.04%,"$ 7,430.57"
"$ 685,134.04",2019,November,"$ 719,615.03",-4.79%,"$ -34,480.99"
"$ 879,093.60",2019,December,"$ 685,134.04",28.31%,"$ 193,959.56"
"$ 834,051.53",2020,January,"$ 879,093.60",-5.12%,"$ -45,042.07"
"$ 737,895.51",2020,Febuary,"$ 834,051.53",-11.53%,"$ -96,156.02"
"$ 821,672.75",2020,March,"$ 737,895.51",11.35%,"$ 83,777.24"
"$ 799,304.67",2020,April,"$ 821,672.75",-2.72%,"$ -22,368.08"
"$ 861,569.79",2020,May,"$ 799,304.67",7.79%,"$ 62,265.12"
"$ 749,851.83",2020,June,"$ 861,569.79",-12.97%,"$ -111,717.96"
"$ 830,364.73",2020,July,"$ 749,851.83",10.74%,"$ 80,512.90"
"$ 826,219.75",2020,August,"$ 830,364.73",-0.5%,"$ -4,144.98"
"$ 797,625.63",2020,September,"$ 826,219.75",-3.46%,"$ -28,594.12"
"$ 856,233.75",2020,October,"$ 797,625.63",7.35%,"$ 58,608.12"
"$ 844,851.04",2020,November,"$ 856,233.75",-1.33%,"$ -11,382.71"
"$ 1,013,448.88",2020,December,"$ 844,851.04",19.96%,"$ 168,597.84"
"$ 676,931.07",2021,January,"$ 1,013,448.88",-33.21%,"$ -336,517.81"
"$ 650,023.26",2021,Febuary,"$ 676,931.07",-3.97%,"$ -26,907.81"
"$ 745,298.37",2021,March,"$ 650,023.26",14.66%,"$ 95,275.11"
"$ 600,710.92",2021,April,"$ 745,298.37",-19.4%,"$ -144,587.45"
"$ 639,419.33",2021,May,"$ 600,710.92",6.44%,"$ 38,708.41"
"$ 694,583.77",2021,June,"$ 639,419.33",8.63%,"$ 55,164.44"
"$ 689,438.57",2021,July,"$ 694,583.77",-0.74%,"$ -5,145.20"
"$ 705,299.22",2021,August,"$ 689,438.57",2.3%,"$ 15,860.65"
"$ 693,507.63",2021,September,"$ 705,299.22",-1.67%,"$ -11,791.59"
"$ 691,610.40",2021,October,"$ 693,507.63",-0.27%,"$ -1,897.23"
"$ 685,682.04",2021,November,"$ 691,610.40",-0.86%,"$ -5,928.36"
"$ 924,686.26",2021,December,"$ 685,682.04",34.86%,"$ 239,004.22"
"$ 729,667.51",2022,January,"$ 924,686.26",-21.09%,"$ -195,018.75"
"$ 681,666.15",2022,Febuary,"$ 729,667.51",-6.58%,"$ -48,001.36"
"$ 729,238.59",2022,March,"$ 681,666.15",6.98%,"$ 47,572.44"
"$ 728,775.52",2022,April,"$ 729,238.59",-0.06%,$ -463.07
"$ 689,626.39",2022,May,"$ 728,775.52",-5.37%,"$ -39,149.13"
"$ 714,559.89",2022,June,"$ 689,626.39",3.62%,"$ 24,933.50"
"$ 728,992.84",2022,July,"$ 714,559.89",2.02%,"$ 14,432.95"
"$ 765,688.74",2022,August,"$ 728,992.84",5.03%,"$ 36,695.90"
"$ 697,625.33",2022,September,"$ 765,688.74",-8.89%,"$ -68,063.41"
"$ 712,698.99",2022,October,"$ 697,625.33",2.16%,"$ 15,073.66"
"$ 670,406.20",2022,November,"$ 712,698.99",-5.93%,"$ -42,292.79"
"$ 854,144.45",2022,December,"$ 670,406.20",27.41%,"$ 183,738.25"
"$ 716,043.83",2023,January,"$ 854,144.45",-16.17%,"$ -138,100.62"
"$ 654,470.45",2023,Febuary,"$ 716,043.83",-8.6%,"$ -61,573.38"
"$ 678,299.13",2023,March,"$ 654,470.45",3.64%,"$ 23,828.68"
"$ 681,108.16",2023,April,"$ 678,299.13",0.41%,"$ 2,809.03"
"$ 720,748.24",2023,May,"$ 681,108.16",5.82%,"$ 39,640.08"
"$ 700,246.17",2023,June,"$ 720,748.24",-2.84%,"$ -20,502.07"
"$ 729,736.11",2023,July,"$ 700,246.17",4.21%,"$ 29,489.94"
"$ 716,082.91",2023,August,"$ 729,736.11",-1.87%,"$ -13,653.20"
"$ 624,046.06",2023,September,"$ 716,082.91",-12.85%,"$ -92,036.85"
"$ 739,937.80",2023,October,"$ 624,046.06",18.57%,"$ 115,891.74"
"$ 623,240.83",2023,November,"$ 739,937.80",-15.77%,"$ -116,696.97"
"$ 895,338.91",2023,December,"$ 623,240.83",43.66%,"$ 272,098.08"
"$ 742,548.92",2024,January,"$ 895,338.91",-17.07%,"$ -152,789.99"
"$ 605,469.72",2024,Febuary,"$ 742,548.92",-18.46%,"$ -137,079.20"
"$ 719,803.56",2024,March,"$ 605,469.72",18.88%,"$ 114,333.84"
"$ 723,661.66",2024,April,"$ 719,803.56",0.54%,"$ 3,858.10"
"$ 716,561.63",2024,May,"$ 723,661.66",-0.98%,"$ -7,100.03"
"$ 662,866.62",2024,June,"$ 716,561.63",-7.49%,"$ -53,695.01"
"$ 698,281.08",2024,July,"$ 662,866.62",5.34%,"$ 35,414.46"
"$ 733,120.01",2024,August,"$ 698,281.08",4.99%,"$ 34,838.93"
"$ 707,102.16",2024,September,"$ 733,120.01",-3.55%,"$ -26,017.85"
"$ 755,965.87",2024,October,"$ 707,102.16",6.91%,"$ 48,863.71"
"$ 664,233.97",2024,November,"$ 755,965.87",-12.13%,"$ -91,731.90"
"$ 874,670.39",2024,December,"$ 664,233.97",31.68%,"$ 210,436.42"
"$ 342,775.78",2019,January,,,
"$ 307,953.23",2019,Febuary,"$ 342,775.78",-10.16%,"$ -34,822.55"
"$ 344,656.27",2019,March,"$ 307,953.23",11.92%,"$ 36,703.04"
"$ 330,335.39",2019,April,"$ 344,656.27",-4.16%,"$ -14,320.88"
"$ 339,467.44",2019,May,"$ 330,335.39",2.76%,"$ 9,132.05"
"$ 342,406.06",2019,June,"$ 339,467.44",0.87%,"$ 2,938.62"
"$ 350,921.70",2019,July,"$ 342,406.06",2.49%,"$ 8,515.64"
"$ 334,509.37",2019,August,"$ 350,921.70",-4.68%,"$ -16,412.33"
"$ 312,981.13",2019,September,"$ 334,509.37",-6.44%,"$ -21,528.24"
"$ 360,402.68",2019,October,"$ 312,981.13",15.15%,"$ 47,421.55"
"$ 310,301.69",2019,November,"$ 360,402.68",-13.9%,"$ -50,100.99"
"$ 448,838.92",2019,December,"$ 310,301.69",44.65%,"$ 138,537.23"
"$ 416,097.98",2020,January,"$ 448,838.92",-7.29%,"$ -32,740.94"
"$ 407,188.94",2020,Febuary,"$ 416,097.98",-2.14%,"$ -8,909.04"
"$ 436,090.45",2020,March,"$ 407,188.94",7.1%,"$ 28,901.51"
"$ 410,193.27",2020,April,"$ 436,090.45",-5.94%,"$ -25,897.18"
"$ 408,729.90",2020,May,"$ 410,193.27",-0.36%,"$ -1,463.37"
"$ 392,574.50",2020,June,"$ 408,729.90",-3.95%,"$ -16,155.40"
"$ 434,288.94",2020,July,"$ 392,574.50",10.63%,"$ 41,714.44"
"$ 427,297.45",2020,August,"$ 434,288.94",-1.61%,"$ -6,991.49"
"$ 404,060.42",2020,September,"$ 427,297.45",-5.44%,"$ -23,237.03"
"$ 390,963.32",2020,October,"$ 404,060.42",-3.24%,"$ -13,097.10"
"$ 439,224.25",2020,November,"$ 390,963.32",12.34%,"$ 48,260.93"
"$ 479,125.22",2020,December,"$ 439,224.25",9.08%,"$ 39,900.97"
"$ 359,999.03",2021,January,"$ 479,125.22",-24.86%,"$ -119,126.19"
"$ 318,345.48",2021,Febuary,"$ 359,999.03",-11.57%,"$ -41,653.55"
"$ 325,393.10",2021,March,"$ 318,345.48",2.21%,"$ 7,047.62"
"$ 342,355.27",2021,April,"$ 325,393.10",5.21%,"$ 16,962.17"
"$ 348,423.89",2021,May,"$ 342,355.27",1.77%,"$ 6,068.62"
"$ 344,577.44",2021,June,"$ 348,423.89",-1.1%,"$ -3,846.45"
"$ 353,873.12",2021,July,"$ 344,577.44",2.7%,"$ 9,295.68"
"$ 357,064.77",2021,August,"$ 353,873.12",0.9%,"$ 3,191.65"
"$ 332,958.42",2021,September,"$ 357,064.77",-6.75%,"$ -24,106.35"
"$ 335,342.47",2021,October,"$ 332,958.42",0.72%,"$ 2,384.05"
"$ 350,139.42",2021,November,"$ 335,342.47",4.41%,"$ 14,796.95"
"$ 437,690.22",2021,December,"$ 350,139.42",25%,"$ 87,550.80"
"$ 363,389.66",2022,January,"$ 437,690.22",-16.98%,"$ -74,300.56"
"$ 337,772.79",2022,Febuary,"$ 363,389.66",-7.05%,"$ -25,616.87"
"$ 373,517.68",2022,March,"$ 337,772.79",10.58%,"$ 35,744.89"
"$ 336,036.22",2022,April,"$ 373,517.68",-10.03%,"$ -37,481.46"
"$ 383,676.89",2022,May,"$ 336,036.22",14.18%,"$ 47,640.67"
